,Name,Before Standard Deviation,Full Standard Deviation,Change,Market Cap
66,PTLA_31,7.3791388694844295,8.564527149506565,0.32000160217285156,27145900.897979736
67,ABBV_46,0.6048589193411711,0.8327094658013949,1.1500015258788991,502152821.99707043
68,AZN_19,1.156059342401966,1.0194663356927305,0.14999961853027344,85086075.48389435
69,AERI_94,1.247766548047321,1.5959554663356992,2.25,14148800.18234253
70,LLY_85,0.2666243446828838,0.622495769867933,1.220001220703125,261162184.7076416
71,MRK_58,0.26554705344929996,0.46035858182863904,0.5200004577636648,483793566.9708252
72,SRPT_34,29.08077800749013,21.80479818642885,3.3699989318847656,50631047.58224487
73,GILD_100,3.1562578168932065,3.232310150825454,3.3300018310546875,1071869079.0344238
74,GILD_88,1.193259768888746,1.3055096331232616,3.7099990844726562,559015411.9338988
75,IMMU_127,10.129823856147407,15.198748272987206,1.219999313354494,62962665.62194824
76,GSK_55,0.45512270367277186,0.5305703927380278,0.3699989318847656,143883766.96243286
77,EOLS_106,15.581558995153127,14.490115449827245,10.85999965667725,7387110.133552551
78,IONS_40,2.514374510826913,3.6298899384194647,5.579998016357422,185939877.1224976
79,AMGN_73,0.4751494326999987,0.426695066868826,3.6600036621093466,356557313.68103033
80,LPCN_105,15.465386407595242,21.914480774698962,0.060000061988830566,281461.0018014908
81,AGN_77,1.4578166830386567,1.7189632348005301,15.639999389648409,413123111.7248535
82,ENDP_3,7.520964581188777,5.418729590533214,2.7399978637695312,260173769.56634516
83,OCUL_72,13.694560364389059,11.072683704487275,0.0799999237060538,17467862.52365112
84,EVOK_135,19.856767058631657,13.89530842774568,0.15000003576278687,776525.9973168373
85,BCRX_79,2.446688350538716,1.8323192617265267,0.0,14801615.274095535
86,NVS_38,0.5172554466558172,0.5369191138859083,0.6003570556640767,358189783.6967468
87,SNY_65,0.9694574453970738,0.6979435284717885,0.00999832153319602,69475400.78544617
88,CLVS_37,3.7247828769839515,4.197115528345607,2.529998779296875,38160669.40460205
89,CLVS_25,10.55344516182874,11.70587110623747,0.039999961853027344,11728882.271575926
90,KMPH_24,8.130425505954431,13.18204529216777,0.619999885559082,1675179.983139038
91,BMRN_9,3.3404570657124255,3.449492155050855,1.5200042724609375,137003693.83239746
92,XOMA_121,7.584218622056655,6.700371053647273,2.630000114440918,1105984.0026855469
93,ADMP_69,21.88027916964691,15.81235762637025,0.20000028610229492,5004459.883594513
94,SNY_133,1.1620096750007456,0.9484010854419067,0.02000045776367898,55266813.18702698
95,PTCT_91,4.556531656562089,5.099304135312125,1.6000003814697266,8703425.0
96,NEOS_10,16.434364271386645,19.486501751696586,4.0500001907348615,1710240.051269531
97,CHMA_15,4.093261208587469,18.135578566539813,6.340000152587889,11460720.240592955
98,AQST_124,2.067804876711495,8.376166117116265,6.660000801086426,807500.0
99,MRK_66,0.8335824650593247,0.6600603323688724,0.18000030517578125,502071960.20584106
100,SNY_57,0.6891602780851241,0.668347487608593,0.00999832153321023,78761181.0836792
101,AMPH_50,9.66057984769627,6.915386625021375,1.4099998474121112,4265436.055755615
102,AKAO_113,8.130286037443053,7.033239220532335,0.06999969482421875,9492054.029655457
103,SPPI_1,8.279489782644417,6.0303697297698005,0.11999988555908203,7731955.110883714
