,Name,Data
21,VNDA,"         Date   High    Low   Open  Close   Volume  Adj Close
0  2016-05-19   9.46   9.07   9.14   9.40   697600       9.40
1  2016-05-20   9.83   9.40   9.45   9.60   637500       9.60
2  2016-05-23   9.64   9.14   9.61   9.56   763900       9.56
3  2016-05-24   9.85   9.57   9.63   9.76   520900       9.76
4  2016-05-25   9.90   9.69   9.79   9.72   617400       9.72
5  2016-05-26   9.75   9.47   9.74   9.49   760800       9.49
6  2016-05-27  10.65   9.85   9.87  10.61  1994200      10.61
7  2016-05-31  10.82  10.21  10.63  10.40   959800      10.40
8  2016-06-01  10.66  10.27  10.34  10.39   590500      10.39
9  2016-06-02  11.11  10.35  10.38  10.98   819800      10.98
10 2016-06-03  11.00  10.52  11.00  10.87   688900      10.87"
22,ICPT,"        Date        High         Low        Open       Close   Volume   Adj Close
0 2016-05-20  134.960007  130.300003  131.690002  134.279999   310400  134.279999
1 2016-05-23  139.800003  134.509995  134.850006  138.600006   325700  138.600006
2 2016-05-24  140.880005  137.500000  139.000000  139.800003   299100  139.800003
3 2016-05-25  142.750000  137.009995  140.020004  141.210007   387200  141.210007
4 2016-05-26  142.509995  136.399994  142.199997  137.729996   388300  137.729996
5 2016-05-27  141.949997  137.850006  139.949997  141.770004   428800  141.770004
6 2016-05-31  150.949997  137.110001  137.800003  148.360001  1840200  148.360001
7 2016-06-01  156.979996  147.240005  148.490005  155.130005   879700  155.130005
8 2016-06-02  169.649994  154.119995  154.880005  167.660004  1084200  167.660004
9 2016-06-03  173.309998  161.070007  169.740005  167.369995  1248600  167.369995"
23,ADMP,"         Date  High   Low  Open  Close   Volume  Adj Close
0  2016-05-31  8.98  8.60  8.98   8.67   188000       8.67
1  2016-06-01  8.97  8.55  8.59   8.70   320300       8.70
2  2016-06-02  9.08  8.70  8.88   8.86   515800       8.86
3  2016-06-03  8.94  8.52  8.85   8.86   283700       8.86
4  2016-06-06  4.80  4.00  4.50   4.09  4966600       4.09
5  2016-06-07  4.17  3.75  4.13   3.82  1466100       3.82
6  2016-06-08  3.93  3.70  3.82   3.85   594000       3.85
7  2016-06-09  3.85  3.27  3.85   3.41  1136800       3.41
8  2016-06-10  3.47  3.04  3.38   3.41   642700       3.41
9  2016-06-13  3.44  3.19  3.43   3.28   299100       3.28
10 2016-06-14  3.25  3.01  3.19   3.12   400800       3.12"
24,KMPH,"         Date   High    Low  Open  Close  Volume  Adj Close
0  2016-06-06  7.674  6.980  7.11   7.58  221000       7.58
1  2016-06-07  7.840  7.250  7.59   7.29  209100       7.29
2  2016-06-08  7.450  6.911  7.29   7.23  263400       7.23
3  2016-06-09  7.410  5.910  6.59   7.15  463300       7.15
4  2016-06-10  7.020  6.420  6.90   6.65  213100       6.65
5  2016-06-13  6.751  6.100  6.75   6.29  212400       6.29
6  2016-06-14  5.175  4.600  4.99   4.74  552000       4.74
7  2016-06-15  4.930  4.660  4.66   4.75  127100       4.75
8  2016-06-16  4.750  4.500  4.75   4.57  141400       4.57
9  2016-06-17  4.560  4.110  4.55   4.30  265200       4.30
10 2016-06-20  4.490  4.100  4.34   4.26  147800       4.26
11 2016-06-21  4.499  4.000  4.27   4.12   83100       4.12"
27,PGNX,"         Date  High   Low  Open  Close    Volume  Adj Close
0  2016-07-12  5.49  5.16  5.45   5.18   1145500       5.18
1  2016-07-13  5.20  4.89  5.18   4.92   1155300       4.92
2  2016-07-14  5.17  4.82  5.04   4.83   2250800       4.83
3  2016-07-15  5.12  4.82  4.87   5.10   1755800       5.10
4  2016-07-18  5.59  5.01  5.13   5.40   2821800       5.40
5  2016-07-19  5.58  4.85  5.51   4.94   3471600       4.94
6  2016-07-20  6.51  5.93  6.21   6.14  15844000       6.14
7  2016-07-21  6.19  5.91  6.11   6.16   4360300       6.16
8  2016-07-22  6.25  5.96  6.21   6.01   1959200       6.01
9  2016-07-25  6.18  5.89  6.01   5.92   1488100       5.92
10 2016-07-26  6.17  5.95  6.11   5.98   1765600       5.98
11 2016-07-27  6.09  5.95  6.05   6.06   1172700       6.06"
28,OCUL,"         Date  High    Low  Open  Close   Volume  Adj Close
0  2016-07-18  5.30  4.865  5.00   5.02   428000       5.02
1  2016-07-19  5.15  4.740  5.05   4.85   340400       4.85
2  2016-07-20  5.28  4.900  4.99   5.24   447900       5.24
3  2016-07-21  5.56  5.060  5.39   5.15   533000       5.15
4  2016-07-22  5.27  4.860  5.12   5.17   709100       5.17
5  2016-07-25  5.23  4.370  4.86   4.42  1859700       4.42
6  2016-07-26  4.75  4.340  4.43   4.64   510400       4.64
7  2016-07-27  4.85  4.620  4.68   4.65   489300       4.65
8  2016-07-28  4.70  4.460  4.65   4.50   295600       4.50
9  2016-07-29  4.50  4.270  4.44   4.37   379600       4.37
10 2016-08-01  4.53  4.330  4.39   4.38   247700       4.38
11 2016-08-02  4.41  4.110  4.35   4.17   326300       4.17"
29,ADMA,"         Date   High   Low   Open  Close  Volume  Adj Close
0  2016-07-22  6.890  6.29  6.290  6.700   61500      6.700
1  2016-07-25  6.900  6.70  6.770  6.835   55400      6.835
2  2016-07-26  6.860  6.70  6.750  6.790   42400      6.790
3  2016-07-27  7.333  6.72  6.720  7.250  104800      7.250
4  2016-07-28  7.440  7.21  7.330  7.310  103200      7.310
5  2016-07-29  8.000  7.35  7.442  7.850   91700      7.850
6  2016-08-01  7.000  5.00  5.190  6.490  915700      6.490
7  2016-08-02  6.400  6.13  6.250  6.360  129400      6.360
8  2016-08-03  6.550  6.17  6.240  6.550   72400      6.550
9  2016-08-04  6.550  6.21  6.550  6.260   67700      6.260
10 2016-08-05  6.470  6.25  6.380  6.320   60400      6.320"
30,HRTX,"         Date       High        Low       Open      Close   Volume  Adj Close
0  2016-08-03  19.760000  17.750000  17.920000  19.430000   860000  19.430000
1  2016-08-04  20.250000  18.700001  19.580000  18.940001   541900  18.940001
2  2016-08-05  19.150000  18.410000  18.990000  18.900000   304700  18.900000
3  2016-08-08  19.360001  18.350000  19.070000  18.740000   237800  18.740000
4  2016-08-09  19.950001  18.350000  18.389999  19.860001   538800  19.860001
5  2016-08-10  24.000000  20.100000  23.360001  20.330000  6574900  20.330000
6  2016-08-11  20.540001  19.620001  20.270000  20.230000  1616200  20.230000
7  2016-08-12  20.580000  19.840000  20.270000  20.410000   530000  20.410000
8  2016-08-15  20.690001  20.070000  20.549999  20.660000   500500  20.660000
9  2016-08-16  22.010000  20.650000  20.650000  21.350000   924000  21.350000
10 2016-08-17  21.549999  20.670000  21.469999  21.190001   812400  21.190001
11 2016-08-18  21.150000  20.680000  21.129999  20.910000   763900  20.910000"
31,PTLA,"         Date       High        Low       Open      Close    Volume  Adj Close
0  2016-08-10  27.480000  25.340000  27.400000  25.370001   1070000  25.370001
1  2016-08-11  27.070000  24.629999  25.480000  26.530001   1939700  26.530001
2  2016-08-12  27.889999  26.430000  26.690001  27.610001    979100  27.610001
3  2016-08-15  28.600000  27.260000  28.250000  27.690001   1254900  27.690001
4  2016-08-16  27.940001  26.600000  27.780001  26.610001   1566900  26.610001
5  2016-08-17  27.160000  20.860001  27.090000  23.690001   3815600  23.690001
6  2016-08-18  21.500000  18.299999  19.110001  20.120001  10935000  20.120001
7  2016-08-19  20.440001  19.309999  20.209999  19.590000   2905700  19.590000
8  2016-08-22  19.850000  18.670000  19.620001  19.219999   2135400  19.219999
9  2016-08-23  20.190001  19.219999  19.230000  20.049999   1438300  20.049999
10 2016-08-24  21.549999  20.030001  20.040001  20.410000   2823900  20.410000
11 2016-08-25  20.870001  19.320000  20.410000  19.799999   1484800  19.799999"
32,OPK,"        Date  High   Low  Open  Close   Volume  Adj Close
0 2016-08-26  9.28  9.00  9.09   9.12  3116700       9.12
1 2016-08-29  9.31  9.08  9.10   9.28  2229200       9.28
2 2016-08-30  9.46  9.25  9.33   9.33  2283600       9.33
3 2016-08-31  9.26  9.07  9.26   9.10  2793300       9.10
4 2016-09-01  9.54  9.19  9.31   9.29  3515300       9.29
5 2016-09-02  9.39  9.16  9.34   9.33  2061200       9.33
6 2016-09-06  9.48  9.19  9.32   9.36  3026900       9.36
7 2016-09-07  9.60  9.38  9.39   9.59  2632400       9.59
8 2016-09-08  9.95  9.56  9.61   9.91  3109600       9.91
9 2016-09-09  9.89  9.73  9.79   9.75  3584100       9.75"
